Gender,Education level,Year,State,Total Population,Average Wage,Percentage
Male,No Schooling,2019,New York,120470,13187.03887,46.04787879
Male,Preschool,2019,New York,3292,72194.35593,40.49200492
Male,Primary Education,2019,New York,182099,18077.35027,46.42114226
Male,Secondary Education,2019,New York,567070,13093.26279,49.87370406
Male,Some college,2019,New York,1039989,24365.60136,49.04458719
Male,Associates Degree,2018,New York,509072,29375.99553,43.30799026
Male,Bachelors Degree,2018,New York,1316639,44033.58174,47.92045716
Male,Graduate Degree,2018,New York,941885,44686.9091,44.13135883
Male,High School or Equivalent,2018,New York,1755635,22025.16494,49.21072681
Male,No Schooling,2018,New York,119590,9158.271271,45.7976387
Male,Preschool,2018,New York,2935,31033.58491,40.88882697
Male,Primary Education,2018,New York,187132,15844.72927,45.95985893
Male,Secondary Education,2018,New York,582388,13008.64321,49.83224908
Male,Some college,2018,New York,1046337,23270.42857,48.93204891
Male,Associates Degree,2017,New York,503541,28402.83722,42.82007847
Male,Bachelors Degree,2017,New York,1298534,40864.83766,47.81206173
Male,Graduate Degree,2017,New York,928669,42860.96025,44.42376337
Male,High School or Equivalent,2017,New York,1765819,20464.36696,48.94033047
Male,No Schooling,2017,New York,120489,9957.994083,45.5402397
Male,Preschool,2017,New York,2815,32335.81667,38.43528127
Male,Primary Education,2017,New York,199346,15622.48101,46.57975965
Male,Secondary Education,2017,New York,602487,11798.27382,49.84665102
Male,Some college,2017,New York,1059451,21835.36117,48.95267843
Male,Associates Degree,2016,New York,493189,27602.11094,42.58622997
Male,Bachelors Degree,2016,New York,1271787,40125.99309,47.88908206
Male,Graduate Degree,2016,New York,901275,39639.28053,44.53467803
Male,High School or Equivalent,2016,New York,1743432,19553.49235,48.63995322
Male,No Schooling,2016,New York,116548,8609.436452,45.80533088
Male,Preschool,2016,New York,2419,13938.90977,39.55199477
Male,Primary Education,2016,New York,203986,15324.1442,47.05765651
Male,Secondary Education,2016,New York,606672,11953.81067,49.72395253
Male,Some college,2016,New York,1064589,21397.88689,49.06589028
Male,Associates Degree,2015,New York,482197,26203.57715,42.39288302
Male,Bachelors Degree,2015,New York,1253442,40553.51836,48.07062394
Male,Graduate Degree,2015,New York,883581,34038.37939,44.64841648
Male,High School or Equivalent,2015,New York,1741884,19273.52728,48.43338701
Male,No Schooling,2015,New York,111256,10237.68675,45.25434622
Male,Preschool,2015,New York,2181,3067.968354,39.78475009
Male,Primary Education,2015,New York,206893,15619.78439,46.58975756
Male,Secondary Education,2015,New York,617148,11930.79463,49.55551255
Male,Some college,2015,New York,1065245,21620.30192,48.92311239
Male,Associates Degree,2014,New York,474943,25254.95597,42.23964582
Male,Bachelors Degree,2014,New York,1224650,41431.44474,48.05398338
Male,Graduate Degree,2014,New York,867266,35966.91676,44.92807755
Male,High School or Equivalent,2014,New York,1726246,19294.40342,48.00960945
Male,No Schooling,2014,New York,108247,11893.59749,45.12115313
Male,Preschool,2014,New York,2055,2856.9375,39.87968174
Male,Primary Education,2014,New York,210648,17410.04484,46.82471408
Male,Secondary Education,2014,New York,625257,11904.15679,49.36093989
Male,Some college,2014,New York,1064242,21432.05044,49.00725317
