Major Category,Major,Year,Degree,Completions
Interdisciplinary Studies,Medieval & Renaissance Studies,2022,Bachelors Degree,9
Interdisciplinary Studies,Behavioral Sciences,2022,Bachelors Degree,4
Interdisciplinary Studies,Natural Sciences,2022,Bachelors Degree,29
Interdisciplinary Studies,Nutrition Sciences,2022,Bachelors Degree,48
Interdisciplinary Studies,International & Global Studies,2022,Bachelors Degree,40
Interdisciplinary Studies,Ancient Civilization Studies,2022,Bachelors Degree,11
Interdisciplinary Studies,Cognitive Science,2022,Bachelors Degree,8
Interdisciplinary Studies,"Cultural Studies, Critical Theory, & Analysis",2022,Bachelors Degree,8
Interdisciplinary Studies,Human Biology,2022,Bachelors Degree,442
Interdisciplinary Studies,Maritime Studies,2022,Bachelors Degree,13
Interdisciplinary Studies,Computational Science,2022,Bachelors Degree,7
Interdisciplinary Studies,Sustainability Studies,2022,Bachelors Degree,69
Interdisciplinary Studies,Climate Science,2022,Bachelors Degree,0
Interdisciplinary Studies,Digital Humanities,2022,Bachelors Degree,3
Interdisciplinary Studies,"Data Science, General",2022,Bachelors Degree,8
Interdisciplinary Studies,"Data Analytics, General",2022,Bachelors Degree,0
Interdisciplinary Studies,Business Analytics,2022,Bachelors Degree,6
Interdisciplinary Studies,Other Multidisciplinary Studies,2022,Bachelors Degree,110
"Parks, Recreation, & Leisure","Parks, Recreation, & Leisure Studies",2022,Bachelors Degree,17
"Parks, Recreation, & Leisure","General Parks, Recreation, & Leisure Facilities Management",2022,Bachelors Degree,21
"Parks, Recreation, & Leisure",General Health & Physical Education,2022,Bachelors Degree,0
"Parks, Recreation, & Leisure",Sport & Fitness Management,2022,Bachelors Degree,122
"Parks, Recreation, & Leisure",Kinesiology & Exercise Science,2022,Bachelors Degree,220
Philosophy and Religious Studies,General Philosophy & Religious Studies,2022,Bachelors Degree,3
Philosophy and Religious Studies,Philosophy,2022,Bachelors Degree,340
Philosophy and Religious Studies,Other Philosophy,2022,Bachelors Degree,12
Philosophy and Religious Studies,Religious Studies,2022,Bachelors Degree,51
Philosophy and Religious Studies,Judaic Studies,2022,Bachelors Degree,48
Philosophy and Religious Studies,Talmudic Studies,2022,Bachelors Degree,1117
Philosophy and Religious Studies,Other Philosophy & Religious Studies,2022,Bachelors Degree,10
Theology,Religious Education,2022,Bachelors Degree,31
Theology,Religious & Sacred Music,2022,Bachelors Degree,0
Theology,Theological Studies,2022,Bachelors Degree,131
Physical Sciences,Physical Sciences,2022,Bachelors Degree,57
Physical Sciences,Astronomy,2022,Bachelors Degree,7
Physical Sciences,Astrophysics,2022,Bachelors Degree,12
Physical Sciences,Meteorology,2022,Bachelors Degree,0
Physical Sciences,General Chemistry,2022,Bachelors Degree,359
Physical Sciences,Chemical Physics,2022,Bachelors Degree,0
Physical Sciences,General Geology & Earch Science,2022,Bachelors Degree,61
Physical Sciences,Chemical & Physical Oceanography,2022,Bachelors Degree,0
Physical Sciences,General Physics,2022,Bachelors Degree,107
Physical Sciences,Acoustics,2022,Bachelors Degree,40
Physical Sciences,Materials Science,2022,Bachelors Degree,5
Physical Sciences,Other Physical Sciences,2022,Bachelors Degree,1
Science Technologies,Other Science Technologies,2022,Bachelors Degree,0
Psychology,General Psychology,2022,Bachelors Degree,4645
Psychology,Personality Psychology,2022,Bachelors Degree,2
Psychology,Physiological Psychology & Psychobiology,2022,Bachelors Degree,5
Psychology,Other Research & Experimental Psychology,2022,Bachelors Degree,851
Psychology,Industrial & Organizational Psychology,2022,Bachelors Degree,24
Psychology,Forensic Psychology,2022,Bachelors Degree,499
Psychology,Applied Psychology,2022,Bachelors Degree,55
Protective Services,Corrections,2022,Bachelors Degree,0
Protective Services,General Law ,2022,Bachelors Degree,1733
Protective Services,Criminal Justice - Safety Studies,2022,Bachelors Degree,32
Protective Services,Criminal Justice - Police Science,2022,Bachelors Degree,240
Protective Services,Securities Services Management,2022,Bachelors Degree,89
Protective Services,Other Corrections & Criminal Justice,2022,Bachelors Degree,94
Protective Services,Fire Services Administration,2022,Bachelors Degree,27
Protective Services,Fire Science & Fire-Fighting,2022,Bachelors Degree,10
Protective Services,Crisis/Disaster Management,2022,Bachelors Degree,23
Protective Services,Financial Forensics And Fraud Investigation,2022,Bachelors Degree,82
Protective Services,Forensic Science And Technology,2022,Bachelors Degree,85
Public Administration and Social Service,General Human Services,2022,Bachelors Degree,360
Public Administration and Social Service,Community Organization & Advocacy,2022,Bachelors Degree,0
Public Administration and Social Service,Public Administration,2022,Bachelors Degree,101
Public Administration and Social Service,General Public Policy Analysis,2022,Bachelors Degree,2
Public Administration and Social Service,International Policy Analysis,2022,Bachelors Degree,19
Public Administration and Social Service,Social Work,2022,Bachelors Degree,395
Public Administration and Social Service,Other Public Administration & Social Service Professions,2022,Bachelors Degree,48
Social Sciences,General Social Sciences,2022,Bachelors Degree,148
Social Sciences,Anthropology,2022,Bachelors Degree,335
Social Sciences,Cultural Anthropology,2022,Bachelors Degree,9
Social Sciences,Archeology,2022,Bachelors Degree,6
Social Sciences,Criminology,2022,Bachelors Degree,239
Social Sciences,General Economics,2022,Bachelors Degree,956
Social Sciences,Econometrics & Quantitative Economics,2022,Bachelors Degree,1100
Social Sciences,Other Economics,2022,Bachelors Degree,24
Social Sciences,Geography,2022,Bachelors Degree,10
Social Sciences,International Relations & Affairs,2022,Bachelors Degree,248
Social Sciences,Political Science,2022,Bachelors Degree,1490
Social Sciences,Sociology,2022,Bachelors Degree,1095
Social Sciences,Urban Studies,2022,Bachelors Degree,168
Social Sciences,Sociology & Anthropology,2022,Bachelors Degree,93
Social Sciences,Other Social Sciences,2022,Bachelors Degree,130
Mechanical Technologies,Airframe Mechanics & Aircraft Maintenance Technology,2022,Bachelors Degree,0
Transportation,Airway Management & Operations,2022,Bachelors Degree,124
Transportation,Marine Science & Merchant Marine Officer,2022,Bachelors Degree,167
Visual & Performing Arts,General Visual & Performing Arts,2022,Bachelors Degree,28
Visual & Performing Arts,Digital Arts,2022,Bachelors Degree,1
Visual & Performing Arts,General Dance,2022,Bachelors Degree,161
Visual & Performing Arts,Ballet,2022,Bachelors Degree,4
Visual & Performing Arts,Other Dance,2022,Bachelors Degree,47
Visual & Performing Arts,General Design & Visual Communications,2022,Bachelors Degree,187
Visual & Performing Arts,Commercial & Advertising Art,2022,Bachelors Degree,66
Visual & Performing Arts,Industrial & Product Design,2022,Bachelors Degree,139
Visual & Performing Arts,Commercial Photography,2022,Bachelors Degree,31
Visual & Performing Arts,Fashion & Apparel Design,2022,Bachelors Degree,556
Visual & Performing Arts,Interior Design,2022,Bachelors Degree,188
Visual & Performing Arts,Graphic Design,2022,Bachelors Degree,236
Visual & Performing Arts,Illustration,2022,Bachelors Degree,455
Visual & Performing Arts,Game & Interactive Media Design,2022,Bachelors Degree,0
Visual & Performing Arts,Other Design & Applied Arts,2022,Bachelors Degree,86
Visual & Performing Arts,General Drama & Theater Arts,2022,Bachelors Degree,633
Visual & Performing Arts,Technical Theatre Design & Technology,2022,Bachelors Degree,32
Visual & Performing Arts,Playwriting & Screenwriting,2022,Bachelors Degree,60
Visual & Performing Arts,"Theatre Literature, History, & Criticism",2022,Bachelors Degree,0
Visual & Performing Arts,Acting,2022,Bachelors Degree,165
Visual & Performing Arts,Directing & Theatrical Production,2022,Bachelors Degree,18
Visual & Performing Arts,Musical Theatre,2022,Bachelors Degree,259
Visual & Performing Arts,Costume Design,2022,Bachelors Degree,3
Visual & Performing Arts,Other Dramatic Arts & Stagecraft,2022,Bachelors Degree,4
Visual & Performing Arts,"Film, Cinema, & Video Studies",2022,Bachelors Degree,235
Visual & Performing Arts,Cinematography & Film Production,2022,Bachelors Degree,571
Visual & Performing Arts,Photography,2022,Bachelors Degree,251
Visual & Performing Arts,Other Film & Photographic Arts,2022,Bachelors Degree,63
Visual & Performing Arts,General Art Studies,2022,Bachelors Degree,63
Visual & Performing Arts,General Fine Studio Arts,2022,Bachelors Degree,637
Visual & Performing Arts,"Art History, Criticism, & Conservation",2022,Bachelors Degree,177
Visual & Performing Arts,Drawing,2022,Bachelors Degree,18
Visual & Performing Arts,Painting,2022,Bachelors Degree,28
Visual & Performing Arts,Sculpture,2022,Bachelors Degree,12
Visual & Performing Arts,Printmaking,2022,Bachelors Degree,4
Visual & Performing Arts,Ceramic Arts & Ceramics,2022,Bachelors Degree,0
Visual & Performing Arts,Other Fine Arts & Art Studies,2022,Bachelors Degree,45
Visual & Performing Arts,General Music,2022,Bachelors Degree,116
Visual & Performing Arts,"Music History, Literature, & Theory",2022,Bachelors Degree,20
Visual & Performing Arts,General Music Performance,2022,Bachelors Degree,125
Visual & Performing Arts,Music Theory & Composition,2022,Bachelors Degree,28
Visual & Performing Arts,Conducting,2022,Bachelors Degree,1
Visual & Performing Arts,Keyboard Instruments,2022,Bachelors Degree,36
Visual & Performing Arts,Voice & Opera,2022,Bachelors Degree,35
Visual & Performing Arts,Jazz & Jazz Studies,2022,Bachelors Degree,85
Visual & Performing Arts,Stringed Instruments,2022,Bachelors Degree,63
Visual & Performing Arts,Music Technology,2022,Bachelors Degree,10
Visual & Performing Arts,Brass Instruments,2022,Bachelors Degree,12
Visual & Performing Arts,Woodwind Instruments,2022,Bachelors Degree,13
Visual & Performing Arts,Percussion Instruments,2022,Bachelors Degree,4
Visual & Performing Arts,Fine & Studio Arts Management,2022,Bachelors Degree,182
Visual & Performing Arts,Theatre Arts Management,2022,Bachelors Degree,82
Visual & Performing Arts,Other Visual & Performing Arts,2022,Bachelors Degree,199
Health,General Health Services,2022,Bachelors Degree,586
Health,General Communication Sciences & Disorders,2022,Bachelors Degree,116
Health,Audiology,2022,Bachelors Degree,0
Health,Speech-Language Pathology,2022,Bachelors Degree,0
Health,Audiology & Speech-Language Pathology,2022,Bachelors Degree,357
Health,Dental Hygiene,2022,Bachelors Degree,27
Health,Health Care Administration & Management,2022,Bachelors Degree,125
Health,Hospital & Health Care Facilities Management,2022,Bachelors Degree,354
Health,Health Information & Medical Records Administration,2022,Bachelors Degree,40
Health,Health Information & Medical Records Technology,2022,Bachelors Degree,1
Health,Speech-Language Pathology Assistant,2022,Bachelors Degree,0
Health,Nuclear Medical Technologist,2022,Bachelors Degree,5
Health,Radiation Therapist,2022,Bachelors Degree,61
Health,Radiographer,2022,Bachelors Degree,20
Health,Physician Assistant,2022,Bachelors Degree,45
Health,"Other Allied Health Diagnostic, Intervention, & Treatment Professions",2022,Bachelors Degree,11
Health,Clinical Laboratory Technologist,2022,Bachelors Degree,110
Health,Pharmaceutical Sciences,2022,Bachelors Degree,0
Health,General Public Health,2022,Bachelors Degree,42
Health,Environmental Health,2022,Bachelors Degree,2
Health,Public Health Education & Promotion,2022,Bachelors Degree,127
Health,Community Health & Preventative Medicine,2022,Bachelors Degree,55
Health,International Public Health,2022,Bachelors Degree,1
Health,Health Services Administration,2022,Bachelors Degree,214
Health,Occupational Therapy,2022,Bachelors Degree,0
Health,Physical Therapy,2022,Bachelors Degree,0
Health,Therapeutic Recreation Therapy,2022,Bachelors Degree,50
Health,Dietetics,2022,Bachelors Degree,138
Health,Others Dietetics & Clinical Nutrition Services,2022,Bachelors Degree,99
Health,Movement Therapy & Movement Education,2022,Bachelors Degree,27
Health,Registered Nursing,2022,Bachelors Degree,2317
Health,Geriatric Nurse,2022,Bachelors Degree,0
Health,"Other Registered Nursing, Nursing Administration, Nursing Research, & Clinical Nursing",2022,Bachelors Degree,35
Health,Other Health Professions & Related Clinical Sciences,2022,Bachelors Degree,66
Business,General Business,2022,Bachelors Degree,887
Business,General Business Admin & Mgt,2022,Bachelors Degree,2461
Business,"Non-Profit, Public, & Organizational Management",2022,Bachelors Degree,12
Business,Retail Management,2022,Bachelors Degree,11
Business,Organizational Leadership,2022,Bachelors Degree,45
Business,"Other Business Administration, Management, & Operations",2022,Bachelors Degree,95
Business,Accounting,2022,Bachelors Degree,2230
Business,Accounting & Finance,2022,Bachelors Degree,45
Business,General Administrative Assistant & Secretarial Science,2022,Bachelors Degree,0
Business,Business & Corporate Communications,2022,Bachelors Degree,212
Business,Business & Managerial Economics,2022,Bachelors Degree,82
Business,Entrepreneurial Studies,2022,Bachelors Degree,93
Business,Other Small Business & Entrepreneurial Operations,2022,Bachelors Degree,19
Business,General Finance,2022,Bachelors Degree,1786
Business,Financial Planning & Services,2022,Bachelors Degree,15
Business,Investments & Securities,2022,Bachelors Degree,0
Business,General Hospitality Management,2022,Bachelors Degree,229
Business,Hotel Administration & Management,2022,Bachelors Degree,35
Business,General Human Resources Management & Personnel Administration,2022,Bachelors Degree,25
Business,Labor Studies,2022,Bachelors Degree,11
Business,"International Business, Trade, & Commerce",2022,Bachelors Degree,269
Business,General Management Information Systems,2022,Bachelors Degree,2
Business,Other Management Information Systems & Services,2022,Bachelors Degree,0
Business,Management Science,2022,Bachelors Degree,233
Business,Business Statistics,2022,Bachelors Degree,86
Business,Actuarial Science,2022,Bachelors Degree,80
Business,Other Management Sciences & Quantitative Methods,2022,Bachelors Degree,33
Business,General Marketing & Marketing Management,2022,Bachelors Degree,427
Business,International Marketing,2022,Bachelors Degree,160
Business,Digital Marketing,2022,Bachelors Degree,11
Business,Real Estate,2022,Bachelors Degree,99
Business,Insurance,2022,Bachelors Degree,50
Business,"General Sales, Distribution, & Marketing Operations",2022,Bachelors Degree,507
Business,Fashion Merchandising,2022,Bachelors Degree,630
Business,Special Products Marketing Operations,2022,Bachelors Degree,10
Business,"Other Specialized Merchandising, Sales, & Marketing Operations",2022,Bachelors Degree,56
Business,"Other Business, Management, Marketing, & Related Support Services",2022,Bachelors Degree,184
History,General History,2022,Bachelors Degree,716
History,History & Philosophy of Science & Technology,2022,Bachelors Degree,15
Communication Technologies,Communications Technology,2021,Bachelors Degree,22
Communication Technologies,Photographic & Video Technology,2021,Bachelors Degree,36
Communication Technologies,Prepress Publising & Digital Imaging Design,2021,Bachelors Degree,0
Communication Technologies,"Animation, Interactive Technology, Video Graphics, & Special Effects",2021,Bachelors Degree,163
Computer and Information Sciences and Support Services,General Computer & Information Sciences,2021,Bachelors Degree,932
Computer and Information Sciences and Support Services,Information Technology,2021,Bachelors Degree,59
Computer and Information Sciences and Support Services,Other Computer & Information Sciences,2021,Bachelors Degree,11
Computer and Information Sciences and Support Services,Information Science,2021,Bachelors Degree,837
Computer and Information Sciences and Support Services,Computer Systems Analysis,2021,Bachelors Degree,31
Computer and Information Sciences and Support Services,Computer Science,2021,Bachelors Degree,1446
Computer and Information Sciences and Support Services,"Web Page, Digital, & Information Resource Design",2021,Bachelors Degree,375
Computer and Information Sciences and Support Services,Computer Graphics,2021,Bachelors Degree,75
Computer and Information Sciences and Support Services,Other Computer Software & Media Applications,2021,Bachelors Degree,36
Computer and Information Sciences and Support Services,Computer Systems Networking & Telecommunications,2021,Bachelors Degree,11
Computer and Information Sciences and Support Services,Network & System Administration,2021,Bachelors Degree,10
Computer and Information Sciences and Support Services,Computer & Information Systems Security,2021,Bachelors Degree,254
Computer and Information Sciences and Support Services,Information Technology Project Management,2021,Bachelors Degree,44
Computer and Information Sciences and Support Services,Other Computer & Information Technology Services Management,2021,Bachelors Degree,47
Computer and Information Sciences and Support Services,Other Computer & Information Support Services,2021,Bachelors Degree,24
Education,General Education,2021,Bachelors Degree,20
Education,Bilingual & Multilingual Education,2021,Bachelors Degree,34
Education,General Special Education & Teaching,2021,Bachelors Degree,163
Education,Education of Individuals with Multiple Disabilities,2021,Bachelors Degree,2
Education,Education of Individuals with Speech or Language Impairments,2021,Bachelors Degree,0
Education,Education of Individuals in Early Childhood Special Education Programs,2021,Bachelors Degree,51
Education,Education of Individuals in Elementary Special Education Programs,2021,Bachelors Degree,20
Education,Education of Individuals in Middle School Special Education Programs,2021,Bachelors Degree,0
Education,Other Special Education & Teaching,2021,Bachelors Degree,3
Education,Elementary Education & Teaching,2021,Bachelors Degree,538
Education,Middle School Education & Teaching,2021,Bachelors Degree,0
Education,Secondary Education & Teaching,2021,Bachelors Degree,11
Education,Early Childhood Education & Teaching,2021,Bachelors Degree,165
Education,Art Teacher Education,2021,Bachelors Degree,24
Education,Business Teacher Education,2021,Bachelors Degree,0
Education,English & Language Arts Teacher Education,2021,Bachelors Degree,122
Education,Foreign Language Teacher Education,2021,Bachelors Degree,6
Education,Health Teacher Education,2021,Bachelors Degree,0
Education,Family & Consumer Sciences Teacher Education,2021,Bachelors Degree,3
Education,Technology & Industrial Arts Teacher Education,2021,Bachelors Degree,13
Education,Mathematics Teacher Education,2021,Bachelors Degree,88
Education,Music Teacher Education,2021,Bachelors Degree,28
Education,Physical Education Teaching & Coaching,2021,Bachelors Degree,98
Education,General Science Teacher Education,2021,Bachelors Degree,0
Education,Social Studies Teacher Education,2021,Bachelors Degree,104
Education,Trade & Industrial Teacher Education,2021,Bachelors Degree,0
Education,Computer Teacher Education,2021,Bachelors Degree,0
Education,Biology Teacher Education,2021,Bachelors Degree,9
Education,Chemistry Teacher Education,2021,Bachelors Degree,6
Education,Drama & Dance Teacher Education,2021,Bachelors Degree,3
Education,French Language Teacher Education,2021,Bachelors Degree,2
Education,German Language Teacher Education,2021,Bachelors Degree,0
Education,History Teacher Education,2021,Bachelors Degree,12
Education,Physics Teacher Education,2021,Bachelors Degree,1
